cycle_index,True SOC,SOC cell,Pred. SOC
61,0.493023334,0.432647911,0.42032963
61,0.487044932,0.42535733,0.41994476
61,0.486805607,0.425431566,0.41959852
61,0.486566462,0.425097532,0.41937193
61,0.480102487,0.419651539,0.41928622
61,0.479862878,0.419318732,0.41942894
61,0.479623448,0.417581936,0.41977215
61,0.479383844,0.417434218,0.42026824
61,0.47914442,0.417692735,0.42575443
61,0.478904643,0.418468558,0.42559665
61,0.478665046,0.418357701,0.4229784
61,0.478425452,0.417212668,0.42070627
61,0.47818586,0.416954235,0.4191221
61,0.47794627,0.416806579,0.41853568
61,0.477706506,0.416769668,0.41856962
61,0.477466921,0.416843492,0.41888973
61,0.477227161,0.41610542,0.41917622
61,0.476987581,0.41569964,0.4193132
61,0.476747827,0.415441477,0.41925257
61,0.476508074,0.415847183,0.41900942
61,0.476268502,0.415552112,0.41864598
61,0.476028754,0.416142314,0.41823775
61,0.475789009,0.415625875,0.4178787
61,0.475549444,0.414704122,0.41761118
61,0.475309704,0.414814701,0.41754842
61,0.480341921,0.419540595,0.41768977
61,0.480581535,0.419466637,0.41801476
61,0.480820974,0.419688522,0.41852814
61,0.481060415,0.420391372,0.42503327
61,0.486327143,0.424281294,0.4247759
61,0.486087825,0.423947497,0.4221245
61,0.48584851,0.425134643,0.41982314
61,0.485609198,0.424281294,0.41821742
61,0.485369888,0.423947497,0.41760966
61,0.485130403,0.423613769,0.41765916
61,0.484891275,0.422872403,0.41794503
61,0.484651795,0.422872403,0.418232
61,0.484412494,0.422835343,0.41837162
61,0.484173196,0.423131842,0.41830757
61,0.474830231,0.414962153,0.4180588
61,0.483933723,0.422538901,0.41768113
61,0.483454962,0.422983586,0.41726738
61,0.483215674,0.422761228,0.41687226
61,0.482976211,0.4220573,0.41662943
61,0.48273675,0.421798039,0.41656396
61,0.482497292,0.421279644,0.41668233
61,0.482258013,0.420539382,0.4170163
61,0.48201856,0.420576387,0.41759706
61,0.481779109,0.420354372,0.4238978
61,0.481539482,0.420983497,0.42347717
61,0.481300036,0.421242623,0.420779
61,0.483694253,0.422316605,0.41844434
61,0.401462612,0.346333089,0.41678777
61,0.450323574,0.390856939,0.41617537
61,0.449842128,0.392014482,0.4161789
61,0.419173282,0.36269765,0.41645843
61,0.418931106,0.362066082,0.41674387
61,0.418688933,0.361960867,0.41687667
61,0.418446585,0.362136233,0.41680318
61,0.418204417,0.361925798,0.41653514
61,0.417962251,0.361329854,0.4161458
61,0.417720087,0.360909445,0.41568914
61,0.417477926,0.360769356,0.41531157
61,0.417235591,0.361189694,0.41505983
61,0.416993258,0.36108459,0.41496658
61,0.416751105,0.360384233,0.41509104
61,0.416508777,0.359789396,0.41549218
61,0.416266451,0.359334812,0.41607356
61,0.416024129,0.359789396,0.4225576
61,0.415781808,0.359404731,0.42194337
61,0.41553949,0.358985303,0.4191929
61,0.415296998,0.358705804,0.4168157
61,0.415054685,0.358461321,0.4151281
61,0.414812197,0.358077281,0.4144522
61,0.41456989,0.358286735,0.41443896
61,0.414327584,0.358391482,0.41471243
61,0.41941546,0.362732751,0.41498986
61,0.414085104,0.358321649,0.41511336
61,0.419657641,0.363399948,0.41502053
61,0.42014201,0.363927054,0.41473982
61,0.425224416,0.367908353,0.41430497
61,0.424982532,0.3680143,0.41386193
61,0.424740474,0.367414104,0.4134707
61,0.424498595,0.367202368,0.41318595
61,0.424256718,0.36702596,0.41309345
61,0.424014844,0.366920133,0.41328055
61,0.423772795,0.366250191,0.4136796
61,0.423530749,0.36677905,0.4142956
61,0.423288882,0.367202368,0.4217326
61,0.423046841,0.366285438,0.42101115
61,0.422804803,0.365475115,0.41821933
61,0.422562943,0.3654399,0.4158468
61,0.422320733,0.36551033,0.41409975
61,0.422078701,0.365369476,0.41340855
61,0.421836673,0.364102829,0.41339177
61,0.421594469,0.364841479,0.41366214
61,0.421352446,0.365827336,0.41393763
61,0.421110424,0.364630371,0.41405106
61,0.420868229,0.364384144,0.4139558
61,0.420626212,0.364137988,0.41363972
61,0.420384022,0.363435078,0.41322768
61,0.419899825,0.364313807,0.4127782
61,0.413842627,0.357798094,0.4123586
61,0.413600152,0.357588767,0.412076
61,0.413357679,0.35699597,0.41204423
61,0.406806384,0.35036613,0.41222423
61,0.406563451,0.350089677,0.41264945
61,0.406320698,0.350780999,0.41328716
61,0.406077946,0.350850166,0.42093027
61,0.405835198,0.350297008,0.42009163
61,0.405592275,0.349778787,0.41728896
61,0.405349354,0.349433503,0.41486922
61,0.405106436,0.349295434,0.41309497
61,0.40486352,0.348915874,0.41239184
61,0.404620784,0.349398984,0.41236758
61,0.404377874,0.349502547,0.41263482
61,0.404135142,0.349191899,0.41290116
61,0.403892237,0.349295434,0.4130141
61,0.403649334,0.34874341,0.41288558
61,0.403406433,0.348812391,0.41259378
61,0.403163535,0.34863995,0.41217607
61,0.402920463,0.347847236,0.41169792
61,0.40267757,0.347640579,0.41127896
61,0.402434679,0.347537273,0.41105485
61,0.402191615,0.346917733,0.41101336
61,0.401948729,0.34743398,0.41121656
61,0.407049143,0.351126896,0.41166043
61,0.407291904,0.351369116,0.41229045
61,0.407534668,0.352616029,0.4203031
61,0.407777434,0.352512043,0.41940296
61,0.41311521,0.357030828,0.4165435
61,0.412872565,0.356786851,0.41411608
61,0.4126301,0.356508112,0.41232583
61,0.412387638,0.356577788,0.4116121
61,0.412145001,0.355811688,0.41158366
61,0.411902721,0.355950924,0.41184285
61,0.411660089,0.355811688,0.41211152
61,0.411417459,0.35560288,0.4121951
61,0.411175009,0.354942016,0.412095
61,0.410932385,0.354455418,0.41180164
