数据点索引,预测SOC,真实SOC
855,0.40537745,0.42269233
856,0.40558058,0.42299333
857,0.40577617,0.4232943
858,0.40612358,0.42359528
859,0.40644416,0.42389625
860,0.40641952,0.42419723
861,0.4066273,0.42449802
862,0.40694982,0.42479897
863,0.40702376,0.4250999
864,0.40733328,0.42540085
865,0.4076208,0.42570165
866,0.40789583,0.42600256
867,0.4080516,0.4263035
868,0.4082996,0.42660424
869,0.40868104,0.42690516
870,0.40923077,0.4272059
871,0.40956217,0.42750666
872,0.40997177,0.42780736
873,0.41020578,0.42810795
874,0.41046846,0.42840865
875,0.41074944,0.4287092
876,0.4111947,0.42900974
877,0.41151407,0.42931044
878,0.411748,0.42961082
879,0.41195452,0.42991135
880,0.412223,0.43021187
881,0.41254476,0.43051237
882,0.41275978,0.43081272
883,0.41298336,0.43111324
884,0.41328502,0.43141374
885,0.41359663,0.43171406
886,0.413793,0.43201452
887,0.41399795,0.43231484
888,0.41426265,0.43261516
889,0.41460693,0.43291548
890,0.41487184,0.43321592
891,0.4151659,0.43351606
892,0.41531438,0.43381634
893,0.41563818,0.43411663
894,0.41594705,0.4344169
895,0.41618538,0.434717
896,0.41642013,0.43501726
897,0.41657257,0.43531737
898,0.41696262,0.4356176
899,0.4172414,0.43591785
900,0.41748953,0.43621793
901,0.4178666,0.43651798
902,0.41799182,0.43681788
903,0.41827187,0.4371181
904,0.41864625,0.43741816
905,0.41891643,0.43771806
906,0.4193366,0.43801808
907,0.4194142,0.43831795
908,0.41985592,0.43861783
909,0.4200602,0.43891785
910,0.42038646,0.43921754
911,0.42082572,0.43951756
912,0.42108503,0.4398174
913,0.4213817,0.44011724
914,0.42156506,0.44041705
915,0.4217039,0.4407167
916,0.42209786,0.44101653
917,0.42228377,0.44131634
918,0.42245096,0.441616
919,0.42261535,0.44191563
920,0.4227859,0.44221526
921,0.42312688,0.44251487
922,0.42349398,0.44281465
923,0.4237324,0.44311428
924,0.42395726,0.44341388
925,0.42433736,0.4437133
926,0.42471516,0.4440129
927,0.42514628,0.44431233
928,0.42558873,0.44461194
929,0.42577404,0.44491118
930,0.42612833,0.44521075
931,0.42644465,0.44551015
932,0.42679638,0.44580954
933,0.42718455,0.4461088
934,0.42752266,0.446408
935,0.42771584,0.44670737
936,0.42806375,0.44700658
937,0.4283979,0.4473058
938,0.4287645,0.44760498
939,0.42911202,0.44790435
940,0.42950284,0.44820353
941,0.42967227,0.44850272
942,0.42987537,0.44880173
943,0.4300961,0.44910088
944,0.43040216,0.44940007
945,0.4306053,0.44969904
946,0.43090826,0.4499982
947,0.43102852,0.45029718
948,0.43122602,0.45059633
949,0.43164,0.45089546
950,0.43186572,0.4511944
951,0.4322373,0.45149338
952,0.4326107,0.45179233
953,0.43284726,0.45209143
954,0.43311006,0.45239022
955,0.43338025,0.452689
956,0.43364006,0.4529879
957,0.4340442,0.45328683
958,0.43412024,0.4535856
959,0.43438798,0.45388433
960,0.4346171,0.45418325
961,0.43496192,0.454482
962,0.43509263,0.45478073
963,0.43559238,0.45507944
964,0.43568808,0.455378
965,0.43612295,0.4556767
966,0.43640962,0.4559754
967,0.43686593,0.45627394
968,0.43718967,0.4565725
969,0.43756795,0.45687118
970,0.437747,0.45716953
971,0.43796605,0.45746806
972,0.43840146,0.45776656
973,0.4388225,0.45806506
974,0.43906513,0.4583634
975,0.4393779,0.45866188
976,0.4396377,0.4589602
977,0.4397848,0.45925853
978,0.4400087,0.459557
979,0.44041204,0.45985532
